date,regime_0_prob,regime_1_prob,regime_2_prob,regime_id,regime_label
2019-07-15,0.22524438903370883,0.7611649242307782,0.013590686735513509,1,High-Vol Bull
2019-07-16,0.36467712621323645,0.6289438346616685,0.006379039125095043,1,High-Vol Bull
2019-07-17,0.06682001382484043,0.9281156455953522,0.0050643405798069824,1,High-Vol Bull
2019-07-18,0.0002557346011636939,0.9997242088308665,2.0056567969389906e-05,1,High-Vol Bull
2019-07-19,0.004449749369999521,0.9955120460285547,3.8204601446641096e-05,1,High-Vol Bull
2019-07-22,0.009135830472231451,0.9903640569911487,0.0005001125366198895,1,High-Vol Bull
2019-07-23,0.005858481794731022,0.6514195469400776,0.3427219712651927,1,High-Vol Bull
2019-07-24,0.004151752495567419,0.9541341012448533,0.04171414625957934,1,High-Vol Bull
2019-07-25,0.048429571575287024,0.9442240168246405,0.00734641160007221,1,High-Vol Bull
2019-07-26,0.0795998256577105,0.9197503228144781,0.0006498515278117597,1,High-Vol Bull
2019-07-29,0.0548835901983756,0.9435063017788637,0.0016101080227604175,1,High-Vol Bull
2019-07-30,0.0011069554312072272,0.0031402448212477867,0.9957527997475436,2,High-Vol Bear
2019-07-31,0.0009178810313744988,0.09774875873499153,0.9013333602336332,2,High-Vol Bear
2019-08-01,0.03715694967081864,0.9264088879251573,0.036434162404023834,1,High-Vol Bull
2019-08-02,2.0343800937575055e-15,1.2776175871180025e-56,0.9999999999999964,2,High-Vol Bear
2019-08-05,6.2774850903939795e-25,1.0238466325295432e-81,1.0,2,High-Vol Bear
2019-08-06,2.971002150861154e-08,1.585957557134949e-30,0.9999999702899776,2,High-Vol Bear
2019-08-07,0.0002216412312546423,2.2792351829043822e-06,0.9997760795335611,2,High-Vol Bear
2019-08-08,0.0019309074127728963,0.7727993757642807,0.22526971682294658,1,High-Vol Bull
2019-08-09,0.009583459372710715,0.9445544524768186,0.045862088150470486,1,High-Vol Bull
2019-08-12,0.0037079998644914836,0.9531059161490002,0.043186083986507834,1,High-Vol Bull
2019-08-13,0.004939369554295823,0.9078991063876833,0.08716152405802055,1,High-Vol Bull
2019-08-14,0.00016554948148912081,0.012859685235097904,0.9869747652834122,2,High-Vol Bear
2019-08-15,0.00011788048254876285,0.5632746178130121,0.4366075017044378,1,High-Vol Bull
2019-08-16,0.002576558505323305,0.9868388534647609,0.010584588029915722,1,High-Vol Bull
2019-08-19,0.0017478762699089604,0.9943676354122224,0.0038844883178687345,1,High-Vol Bull
2019-08-20,0.002174583888039016,0.9957664739009522,0.002058942211008548,1,High-Vol Bull
2019-08-21,0.0003586398926528954,0.9996162332456466,2.5126861700198585e-05,1,High-Vol Bull
2019-08-22,0.002020244663775098,0.9962230426206845,0.0017567127155405024,1,High-Vol Bull
2019-08-23,0.0014331010498893676,0.931073246857314,0.06749365209279687,1,High-Vol Bull
2019-08-26,0.009031720255282507,0.9898839805194756,0.001084299225241562,1,High-Vol Bull
2019-08-27,0.002040335735057623,0.9964770169732674,0.0014826472916743695,1,High-Vol Bull
2019-08-28,0.007182263290327069,0.9919917124535864,0.0008260242560865825,1,High-Vol Bull
2019-08-29,0.34972205736590284,0.6454716703495136,0.004806272284582715,1,High-Vol Bull
2019-08-30,0.23260269137641418,0.7626914821549928,0.004705826468593648,1,High-Vol Bull
2019-09-02,0.19000913353088875,0.8091657300960929,0.0008251363730191548,1,High-Vol Bull
2019-09-03,0.034897352374779325,0.9636529862949774,0.001449661330243262,1,High-Vol Bull
2019-09-04,0.15184215422431574,0.7951846586999818,0.05297318707570209,1,High-Vol Bull
2019-09-05,0.5149600018058046,0.19963498181957837,0.28540501637461735,0,Mean-Reverting / Stagnant
2019-09-06,0.07139966411909097,0.9259543589220564,0.002645976958852905,1,High-Vol Bull
2019-09-09,0.00831120049222977,0.990740448379679,0.0009483511280907668,1,High-Vol Bull
2019-09-10,0.0044121191001358084,0.9901712262207437,0.005416654679121319,1,High-Vol Bull
2019-09-11,0.016692322315448465,0.9824693846755055,0.0008382930090458862,1,High-Vol Bull
2019-09-12,0.014786908983377816,0.9842684305585802,0.0009446604580421717,1,High-Vol Bull
2019-09-13,0.0011157333781817787,0.9641248503193626,0.03475941630245523,1,High-Vol Bull
2019-09-16,0.003850730278191459,0.9929349519663951,0.0032143177554142836,1,High-Vol Bull
2019-09-17,0.00835402412341318,0.9907933820386011,0.0008525938379861053,1,High-Vol Bull
2019-09-18,0.006481396144949754,0.9874421116448115,0.0060764922102394415,1,High-Vol Bull
2019-09-19,0.012262102797618921,0.98509854270643,0.0026393544959512987,1,High-Vol Bull
2019-09-20,0.0069928929132593385,0.9779959071898269,0.015011199896913055,1,High-Vol Bull
2019-09-23,0.003643362161131964,0.9900571712188271,0.006299466620041559,1,High-Vol Bull
